uid,state,ll,elev,name
3699,CO,"[-106.9252, 37.853]",8852.0,CREEDE
3700,CO,"[-107.88333, 37.86667]",8700.0,AMES
3701,CO,"[-104.93333, 37.9]",6850.0,RYE
3702,CO,"[-105.05, 37.98333]",8494.0,SAN ISABEL
3703,CO,"[-103.69477, 38.03846]",4170.0,ROCKY FORD 2 SE
3704,CO,"[-104.48333, 38]",4915.0,AVONDALE 18 SSW
3705,CO,"[-104.46667, 38.03333]",4852.0,BUTLER RANCH
3706,CO,"[-105.33333, 38]",8205.0,FROZE CREEK
3707,CO,"[-107.3147, 38.0247]",8667.0,LAKE CITY
3708,CO,"[-108.0211, 37.9944]",7550.0,PLACERVILLE 3SE
3709,CO,"[-107.6686, 38.0205]",7840.0,OURAY
3710,CO,"[-102.3153, 38.0614]",3489.0,GRANADA
3711,CO,"[-102.6306, 38.0936]",3627.0,LAMAR
3712,CO,"[-102.9298, 38.0634]",3814.0,JOHN MARTIN DAM
3713,CO,"[-103.21667, 38.06667]",3891.0,LAS ANIMAS #2
3714,CO,"[-103.51335, 38.04949]",4194.0,LA JUNTA MUNICIPAL AIRPORT
3715,CO,"[-103.51667, 38.05]",,LA JUNTA AAF
3716,CO,"[-106.95, 38.08333]",10217.0,LOS PINOS PASS 1 SE
3717,CO,"[-102.61667, 38.08333]",3622.0,LAMAR
3718,CO,"[-103.51, 38.115]",4147.0,CHERAW 1 N
3719,CO,"[-104.0084, 38.1236]",4330.0,FOWLER 1 SE
3720,CO,"[-104.58333, 38.11667]",4900.0,LIME 3 SE
3721,CO,"[-105.08333, 38.13333]",7365.0,WETMORE 9 S
3722,CO,"[-105.2, 38.13333]",7800.0,WETMORE 8 SW
3723,CO,"[-105.466, 38.13137]",7873.0,WESTCLIFFE
3724,CO,"[-108.2863, 38.1316]",7020.0,NORWOOD
3725,CO,"[-104.16667, 38.18333]",4403.0,NEPESTA 2 NW
3726,CO,"[-104.65, 38.18333]",4915.0,PUEBLO 6 SSW
3727,CO,"[-103.73218, 38.22113]",4312.0,ORDWAY 1 ENE
3728,CO,"[-104.63333, 38.23333]",4806.0,PUEBLO WB AIRPORT
3729,CO,"[-105.1, 38.21667]",6585.0,WETMORE 2 S
3730,CO,"[-104.50569, 38.28871]",4729.0,PUEBLO MEMORIAL AIRPORT
3731,CO,"[-104.6, 38.26667]",4705.0,PUEBLO FIRE STN #2
3732,CO,"[-104.65, 38.28333]",4692.0,PUEBLO CITY RESERVOIR
3733,CO,"[-104.61667, 38.28333]",4872.0,PUEBLO KGSJ TV
3734,CO,"[-104.61667, 38.28333]",4803.0,PUEBLO FIRE STN #5
3735,CO,"[-104.6, 38.28333]",4715.0,PUEBLO RIVER
3736,CO,"[-104.71784, 38.25971]",4861.0,PUEBLO RESERVOIR
3737,CO,"[-107.1, 38.26667]",8094.0,POWDERHORN
3739,CO,"[-104.35, 38.31667]",4682.0,PUEBLO ARMY DEPOT
3741,CO,"[-104.6, 38.3]",,PUEBLO
3742,CO,"[-105.13333, 38.38333]",5194.0,FLORENCE
3743,CO,"[-105.78333, 38.38333]",6525.0,COALDALE 1 NW
3744,CO,"[-105.78333, 38.35]",6906.0,COALDALE 2 SW
3745,CO,"[-108.7422, 38.3761]",5021.0,URAVAN
3746,CO,"[-108.98333, 38.38333]",5530.0,PARADOX 1 W
3747,CO,"[-108.95, 38.36667]",5282.0,PARADOX 1 E
3748,CO,"[-102.53333, 38.43333]",3904.0,CHIVINGTON
3749,CO,"[-104.0567, 38.3421]",4882.0,TACONY 13 SE
3750,CO,"[-105.11667, 38.43333]",,CANON CITY
3751,CO,"[-105.25, 38.43333]",5372.0,CANON CITY 1 W
3752,CO,"[-106.25, 38.4]",10856.0,MARSHALL PASS
3753,CO,"[-106.4236, 38.4039]",8460.0,SARGENTS
3754,CO,"[-106.5, 38.4]",8136.0,SARGENTS 6W
3755,CO,"[-106.76156, 38.44313]",8006.0,COCHETOPA CREEK
3757,CO,"[-102.43611, 38.45972]",3925.0,BRANDON
3758,CO,"[-103.1605, 38.4466]",4522.0,HASWELL
3759,CO,"[-105.06667, 38.45]",5413.0,PENROSE
3760,CO,"[-107.18333, 38.48333]",7726.0,SAPINERO 8 E
3761,CO,"[-107.1677, 38.4666]",7568.0,BLUE MESA LAKE
3762,CO,"[-107.33278, 38.45667]",7530.0,BLUE MESA DAM
3763,CO,"[-107.46667, 38.46667]",9308.0,SAPINERO 9 W
3764,CO,"[-107.557, 38.4432]",6890.0,CIMARRON
3765,CO,"[-104.83333, 38.5]",,FORT CARSON RANGE GWC
3766,CO,"[-106.33333, 38.5]",11339.0,MONARCH PASS
3767,CO,"[-107.88333, 38.48333]",5786.0,MONTROSE 1
3768,CO,"[-107.85, 38.5]",5802.0,MONTROSE
3770,CO,"[-106.0158, 38.5328]",7160.0,SALIDA
3771,CO,"[-106.01667, 38.51667]",,SALIDA
3772,CO,"[-106.05, 38.53333]",7488.0,SALIDA 3 W
3774,CO,"[-103.68333, 38.55]",4783.0,FORDER 8 S
3775,CO,"[-106, 38.55]",7024.0,SALIDA HIGHWAY BRIDGE
3776,CO,"[-106, 38.55]",7106.0,SALIDA AVN
3777,CO,"[-106.91667, 38.6]",7803.0,GUNNISON AP
3778,CO,"[-106.93333, 38.53333]",7666.0,GUNNISON COUNTY AP
3779,CO,"[-104.66667, 38.61667]",5354.0,MIDWAY 4 N
3780,CO,"[-106.53333, 38.6]",9199.0,PITKIN
3781,CO,"[-107.98333, 38.61667]",5364.0,OLATHE
3782,CO,"[-104.70139, 38.67778]",5560.0,FOUNTAIN
3783,CO,"[-105.3922, 38.6754]",8595.0,GUFFEY 10 SE
3784,CO,"[-104.75667, 38.67833]",5838.0,FORT CARSON BUTTS AAF
3785,CO,"[-108.9609, 38.68778]",4671.0,GATEWAY 1ENE
3786,CO,"[-105.15, 38.71667]",9708.0,VICTOR
3787,CO,"[-106.36667, 38.7]",10016.0,ST ELMO
3788,CO,"[-102.79962, 38.76261]",4302.0,KIT CARSON
3789,CO,"[-104.61667, 38.78333]",5960.0,FOUNTAIN 9 NE
3790,CO,"[-105.17972, 38.74972]",9550.0,CRIPPLE CREEK
3791,CO,"[-105.53333, 38.75]",8606.0,GUFFEY
3792,CO,"[-107.98333, 38.78333]",5105.0,CORY
3793,CO,"[-108.05, 38.75]",4925.0,DELTA BRIDGE
3794,CO,"[-108.0783, 38.7531]",4930.0,DELTA
3795,CO,"[-108.68333, 38.78333]",7254.0,WATERFALL RANCH
3796,CO,"[-103.5427, 38.7411]",5075.0,KARVAL
3797,CO,"[-103.83333, 38.83333]",5364.0,KUTCH 6 SSE
3798,CO,"[-104.33333, 38.83333]",6024.0,ELLICOTT
3799,CO,"[-104.7, 38.81667]",,COLORADO SPRINGS PETERSON AFB
3800,CO,"[-104.6884, 38.81]",6181.0,COLORADO SPRINGS MUNICIPAL AP
3801,CO,"[-104.98333, 38.81667]",10265.0,LAKE MORAINE
3802,CO,"[-105.53333, 38.81667]",9006.0,GUFFEY 5 N
3803,CO,"[-106.16667, 38.83333]",8107.0,BUENA VISTA 2 WSW
3804,CO,"[-106.6086, 38.8183]",9179.0,TAYLOR PARK
3805,CO,"[-107.63333, 38.81667]",,BONE MESA
3806,CO,"[-107.7, 38.8]",5404.0,HOTCHKISS
3807,CO,"[-107.81667, 38.8]",5288.0,ROGERS MESA
3810,CO,"[-102.1764, 38.8528]",4020.0,ARAPAHOE
3811,CO,"[-103.65, 38.88333]",5243.0,AMY
3812,CO,"[-104.094, 38.8611]",6054.0,RUSH 1N
3813,CO,"[-104.2426, 38.859]",6266.0,YODER 2 NW
3814,CO,"[-104.31667, 38.86667]",6043.0,BIG SPRINGS RANCH
3815,CO,"[-104.83333, 38.85]",6106.0,COLORADO SPRINGS
3817,CO,"[-104.91667, 38.86667]",6414.0,MANITOU SPRINGS CITY HALL
3818,CO,"[-104.9742, 38.8416]",9060.0,RUXTON PARK
3819,CO,"[-104.95, 38.85]",8855.0,FREMONT EXPERIMENTAL STN
3820,CO,"[-104.933, 38.8557]",6658.0,MANITOU SPRINGS
3821,CO,"[-105.2849, 38.9127]",8402.0,FLORISSANT FOSSIL BED
3822,CO,"[-106.1276, 38.8246]",7954.0,BUENA VISTA 2S
3823,CO,"[-106.9772, 38.8738]",8867.0,CRESTED BUTTE
3824,CO,"[-103.08333, 38.91667]",4793.0,AROYA 6 NE
3825,CO,"[-103.48333, 38.93333]",5253.0,LONG BRANCH
3826,CO,"[-103.86667, 38.91667]",5653.0,KUTCH
3827,CO,"[-105.15, 38.93333]",,DIVIDE
3828,CO,"[-105.4705, 38.9075]",8550.0,LAKE GEORGE 8 SW
3829,CO,"[-106.13333, 38.91667]",9094.0,BUENA VISTA 5 NE
3830,CO,"[-107.43361, 38.92583]",6075.0,SOMERSET 2 E
3831,CO,"[-107.46667, 38.93333]",6004.0,SOMERSET BRIDGE
3832,CO,"[-107.51667, 38.91667]",5901.0,WILCOX RANCH
3833,CO,"[-107.93333, 38.9]",6244.0,CEDAREDGE
3834,CO,"[-108.85, 38.93333]",6706.0,LITTLE DOLORES
3835,CO,"[-103.28333, 38.91667]",4741.0,BOYERO 1 WSW
3836,CO,"[-104.81667, 38.96667]",6572.0,COLORADO SPRINGS USAF ACADEMY
3837,CO,"[-105.95, 38.96667]",9035.0,ANTERO JUNCTION 3 NNE
3838,CO,"[-106.45, 38.98333]",10407.0,NORTH FORK CLEAR CREEK
3839,CO,"[-108.45, 38.98333]",4628.0,GRAND JUNCTION 8 SE
3840,CO,"[-103.7695, 38.9496]",5572.0,LIMON ATWATER RANCH
3841,CO,"[-104.28333, 39.03333]",,CALHAN
3842,CO,"[-104.6, 39.01667]",7234.0,AYER RANCH
3843,CO,"[-104.66667, 39.03333]",7605.0,EASTONVILLE 6 WSW
3844,CO,"[-105.8, 39.03333]",8860.0,HARTSEL
3845,CO,"[-105.89145, 38.99305]",8939.0,ANTERO RESERVOIR
3846,CO,"[-106.55, 39.03333]",10709.0,SOUTH FORK LAKE
3847,CO,"[-108.75, 39]",7005.0,GLADE PARK STORE
3848,CO,"[-104.33333, 39.05]",6508.0,CALHAN
3849,CO,"[-104.5997, 39.1091]",7210.0,EASTONVILLE 2 NNW
3850,CO,"[-104.55, 39.08333]",7274.0,EASTONVILLE 2 NNE
3851,CO,"[-104.78333, 39.08333]",,MONUMENT
3852,CO,"[-104.93333, 39.08333]",7346.0,MONUMENT 2 WSW
3853,CO,"[-106.3, 39.08333]",9177.0,TWIN LAKES EVAPORATION
3854,CO,"[-106.35064, 39.09419]",9236.0,TWIN LAKES RESERVOIR
3855,CO,"[-106.61667, 39.08333]",10500.0,INDEPENDENCE PASS 5 SW
3856,CO,"[-108.08333, 39.05]",9806.0,MESA LAKES RESORT
3857,CO,"[-108.23333, 39.08333]",8307.0,PALISADE 6 SE
3858,CO,"[-108.45, 39.08333]",4692.0,CLIFTON
3859,CO,"[-108.4663, 39.0422]",4760.0,GRAND JUNCTION 6ESE
3860,CO,"[-108.56667, 39.06667]",,GRAND JUNCTION
3861,CO,"[-108.56556, 39.05444]",4549.0,GRAND JUNCTION HWY BR
3862,CO,"[-108.56667, 39.06667]",,GRAND JUNCTION - COOP
3863,CO,"[-108.85, 39.05]",6385.0,LITTLE DOLORES 5 NE
3864,CO,"[-103.4897, 39.1438]",5025.0,HUGO 1 NW
3865,CO,"[-104.53333, 39.13333]",7215.0,ELBERT 6 SSE
3866,CO,"[-104.61667, 39.11667]",7244.0,ELBERT 8 SW
3867,CO,"[-104.6, 39.1]",7005.0,EASTONVILLE 3 NW
3868,CO,"[-104.7286, 39.1044]",7518.0,GREENLAND 9 SE
3869,CO,"[-104.91784, 39.11501]",7202.0,PALMER LAKE
3870,CO,"[-105.0942, 39.1005]",7760.0,WOODLAND PARK 8 NNW
3871,CO,"[-105.11667, 39.13333]",7805.0,WESTCREEK
3872,CO,"[-106.55, 39.11667]",11608.0,MOUNTAIN BOY 1
3873,CO,"[-106.55, 39.1]",10607.0,LAKE CREEK BASE
3874,CO,"[-106.53333, 39.11667]",10909.0,LACKAWANNA
3875,CO,"[-107.51667, 39.1]",8307.0,WEST MUDDY RANGER STN
3876,CO,"[-107.8988, 39.1025]",9852.0,BONHAM RESERVOIR
3877,CO,"[-108.3505, 39.1136]",4751.0,PALISADE
3878,CO,"[-108.7338, 39.1013]",5781.0,COLORADO NATIONAL MONUMENT
3879,CO,"[-108.73333, 39.13333]",4491.0,FRUITA 1 SE
3880,CO,"[-102.86765, 39.29505]",4706.0,SEIBERT
3881,CO,"[-104.08785, 39.13983]",5984.0,SIMLA
3882,CO,"[-104.56667, 39.16667]",7224.0,ELBERT 4 SSW
3883,CO,"[-104.6, 39.16667]",6936.0,ELBERT 5 SW
3884,CO,"[-104.85, 39.18333]",6883.0,GREENLAND
3885,CO,"[-106.83333, 39.18333]",7928.0,ASPEN
3886,CO,"[-107.23333, 39.18333]",7205.0,REDSTONE
3887,CO,"[-103.76667, 39.15]",5564.0,LIMON 10 SSW
3888,CO,"[-104.55, 39.21667]",6745.0,ELBERT
3889,CO,"[-104.5, 39.2]",6755.0,ELBERT 3 SE
3890,CO,"[-104.8, 39.23333]",,LARKSPUR
3891,CO,"[-104.88333, 39.23333]",,LARKSPUR
3892,CO,"[-105.61667, 39.23333]",8885.0,TARRYALL RESERVOIR
3893,CO,"[-106, 39.23333]",10000.0,FAIRPLAY
3894,CO,"[-106, 39.21667]",9957.0,FAIRPLAY 2
3895,CO,"[-107.3, 39.2]",8065.0,REDSTONE 4 W
3896,CO,"[-108.26667, 39.23333]",4814.0,CAMEO 7 NE
3897,CO,"[-106.87056, 39.23]",7720.0,ASPEN PITKIN COUNTY AP SARDY FIELD
3898,CO,"[-102.15, 39.25]",4242.0,BURLINGTON 8 SE
3899,CO,"[-103.06207, 39.28135]",4921.0,FLAGLER 1S
3900,CO,"[-103.26667, 39.28333]",5241.0,ARRIBA
3901,CO,"[-103.4945, 39.2771]",5593.0,GENOA
3902,CO,"[-104.46667, 39.28333]",6624.0,KIOWA 5 S
3903,CO,"[-104.43333, 39.28333]",6355.0,KIOWA 5 SE
3904,CO,"[-104.58333, 39.25]",6844.0,ELBERT 3 NW
3905,CO,"[-104.7383, 39.2166]",6900.0,GREENLAND 6 NE
3906,CO,"[-104.96667, 39.26667]",6329.0,PERRY PARK
3907,CO,"[-105.08333, 39.28333]",8484.0,DEVILS HEAD
3908,CO,"[-105.23333, 39.25]",6499.0,DECKERS
3909,CO,"[-106.3713, 39.2495]",9738.0,SUGARLOAF RESERVOIR
3910,CO,"[-106.46667, 39.28333]",11007.0,LEADVILLE 10 WNW
3911,CO,"[-107.93333, 39.25]",6463.0,COLLBRAN 3 ENE
3912,CO,"[-106.86667, 39.28333]",7448.0,ASPEN WOODY CREEK
3913,CO,"[-102.26085, 39.3062]",4162.0,BURLINGTON
3914,CO,"[-102.43333, 39.3]",4203.0,BETHUNE
3915,CO,"[-102.6002, 39.3047]",4399.0,STRATTON
3916,CO,"[-102.73333, 39.3]",4505.0,VONA
3917,CO,"[-103.35, 39.31667]",5280.0,BOVINA 3 NNE
3918,CO,"[-104.51667, 39.3]",6555.0,KIOWA 4 SW
3919,CO,"[-106.33333, 39.33333]",10256.0,TENNESSEE PASS
3920,CO,"[-108.21667, 39.33333]",4954.0,DE BEQUE
3921,CO,"[-104.46667, 39.35]",6355.0,KIOWA
3922,CO,"[-104.46667, 39.35]",6404.0,KIOWA
3923,CO,"[-104.9058, 39.4105]",6185.0,CASTLE ROCK
3924,CO,"[-104.86667, 39.36667]",6214.0,CASTLE ROCK 2
3925,CO,"[-104.94537, 39.38559]",6007.0,SEDALIA 4 SSE
3926,CO,"[-105, 39.36667]",6175.0,SEDALIA
3927,CO,"[-106.68333, 39.36667]",8507.0,MEREDITH 4NE
3928,CO,"[-106.7422, 39.3619]",7825.0,MEREDITH
3929,CO,"[-106.75, 39.36667]",7805.0,MEREDITH EVAPORATION
3930,CO,"[-107.03333, 39.36667]",6624.0,BASALT
3931,CO,"[-106.1898, 39.3671]",11344.0,CLIMAX
3932,CO,"[-105.18333, 39.4]",6197.0,SOUTH PLATTE
3933,CO,"[-105.4765, 39.4052]",7752.0,BAILEY
3934,CO,"[-105.75, 39.41667]",10108.0,KENOSHA PASS
3935,CO,"[-106.15, 39.43333]",,CAMP HALE AAF
3936,CO,"[-102.16667, 39.48333]",4232.0,BURLINGTON 12 NNE
3937,CO,"[-103.93333, 39.45]",5482.0,AGATE 3 SW
3938,CO,"[-105.36667, 39.48333]",8435.0,ELK CREEK
3939,CO,"[-105.6785, 39.4607]",8675.0,GRANT
3940,CO,"[-106.04314, 39.48637]",9598.0,BRECKENRIDGE
3941,CO,"[-108.05, 39.45]",5092.0,GRAND VALLEY
3942,CO,"[-108.05, 39.45]",5090.0,PARACHUTE
3943,CO,"[-104.65667, 39.52889]",6310.0,PARKER 6 E
3944,CO,"[-105.0952, 39.49]",5587.0,KASSLER
3945,CO,"[-105.26667, 39.53333]",7776.0,CONIFER 3 NE
3946,CO,"[-106.2, 39.51667]",10436.0,VAIL PASS 1 E
3947,CO,"[-106.36667, 39.51667]",8615.0,REDCLIFF
3948,CO,"[-108.3809, 39.4992]",5637.0,ALTENBERN
3949,CO,"[-108.38333, 39.5]",,DE BEQUE 15 NW
3950,CO,"[-102.9, 39.58333]",4403.0,COPE
3951,CO,"[-103.35, 39.55]",5180.0,SHAW 2 E
3952,CO,"[-104.84889, 39.57028]",5883.0,DENVER CENTENNIAL AP
3953,CO,"[-105.2193, 39.5728]",7180.0,INTER CANYON
3954,CO,"[-107.2267, 39.5703]",5992.0,SHOSHONE
3955,CO,"[-107.33333, 39.55]",5721.0,GLENWOOD SPRINGS
3956,CO,"[-107.93333, 39.55]",8205.0,OIL SHALE MINE
3957,CO,"[-102.1193, 39.6567]",3717.0,BONNY DAM 2NE
